outcome,mean_y
enrol_year_bac_all_0914,0.94
enrol_anytime_all_0914,0.97
enrol_year_bac_all_0914_licence,0.26
enrol_year_bac_all_0914_medecine,0.13
enrol_year_bac_all_0914_bts,0.11
enrol_year_bac_all_0914_dut,0.1
enrol_year_bac_all_0914_cpge,0.25
enrol_year_bac_all_0914_other,0.08
enrol_2_ontime_all_0914,0.72
enrol_2_anytime_all_0914,0.91
enrol_3_ontime_all_0914,0.56
enrol_3_anytime_all_0914,0.82
quality,13.28
quality_bacyear_plus1,13.32
quality_bacyear_plus2,13.38
tot_enrol_yrs,5.47
max_enrol_degetu,4.32
grad_5_all,0.64
grad_7_all,0.78
grad_9_all,0.81
master_anytime_all,0.68
max_ects_credits,269.2
master_select_anytime_all,0.32
quality_first_grad_degree,13.67
