outcome_lab,n_obs_merit_aid_eligible,avg_merit_aid_eligible,n_obs_very_high_ses,avg_very_high_ses,uncontrolled,uncontrolled_pct,controlled,controlled_pct
Enrollment in 2nd Year in High School Graduation Year + 1,"52,940",0.809,"18,026",0.856,-0.047***,-5.76%,-0.036***,-4.41%
"",,"",,"",0.003,"",0.003,""
Enrollment in 2nd Year at Least Once,"52,940",0.956,"18,026",0.964,-0.008***,-0.84%,0,0.02%
"",,"",,"",0.002,"",0.002,""
Enrollment in 3rd Year in High School Graduation Year + 2,"52,940",0.68,"18,026",0.74,-0.06***,-8.79%,-0.042***,-6.19%
"",,"",,"",0.004,"",0.004,""
Enrollment in 3rd Year at Least Once,"52,940",0.906,"18,026",0.945,-0.039***,-4.33%,-0.009***,-1.01%
"",,"",,"",0.002,"",0.002,""
Degree Quality in High School Graduation Year,"52,940",14.129,"18,026",15.056,-0.927***,-6.56%,-0.237***,-1.68%
"",,"",,"",0.016,"",0.009,""
Degree Quality in High School Graduation Year + 1,"52,940",14.276,"18,026",15.312,-1.037***,-7.26%,-0.408***,-2.86%
"",,"",,"",0.016,"",0.011,""
Degree Quality in High School Graduation Year + 2,"52,940",14.21,"18,026",15.195,-0.985***,-6.93%,-0.536***,-3.77%
"",,"",,"",0.015,"",0.012,""
Number of Years Enrolled in Higher Education,"52,940",6.351,"18,026",6.802,-0.451***,-7.11%,-0.144***,-2.27%
"",,"",,"",0.021,"",0.018,""
Highest Level of Study Attained (in Years),"52,940",4.806,"18,026",5.081,-0.275***,-5.73%,-0.093***,-1.94%
"",,"",,"",0.01,"",0.009,""
Degree Completion,"52,940",0.865,"18,026",0.898,-0.032***,-3.75%,-0.008***,-0.95%
"",,"",,"",0.003,"",0.003,""
grad_anytime_all_excl_bpbac,"52,940",0.894,"18,026",0.904,-0.01***,-1.07%,-0.006**,-0.62%
"",,"",,"",0.003,"",0.003,""
Years to First Degree Completion,"52,940",4.818,"18,026",5.52,-0.702***,-14.58%,-0.351***,-7.29%
"",,"",,"",0.02,"",0.014,""
min_years_since_bac_excl_bpbac,"52,940",4.843,"18,026",5.528,-0.685***,-14.14%,-0.361***,-7.45%
"",,"",,"",0.02,"",0.014,""
Total Number of Credits Obtained,"52,940",271.006,"18,026",261.574,9.433***,3.48%,7.991***,2.95%
"",,"",,"",1.373,"",1.335,""
Enrolling in a Masters Degree,"52,940",0.767,"18,026",0.834,-0.067***,-8.69%,-0.017***,-2.23%
"",,"",,"",0.004,"",0.003,""
Enrolling in a Selective Masters Degree,"52,940",0.439,"18,026",0.635,-0.196***,-44.55%,-0.088***,-20.04%
"",,"",,"",0.004,"",0.003,""
First Graduate Degree Quality,"52,940",14.453,"18,026",15.34,-0.887***,-6.14%,-0.512***,-3.54%
"",,"",,"",0.015,"",0.012,""
