coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,year_bac,mean_y
0.0077855640777964,0.0195696702659429,0.0125169840785198,0.0276054265224016,0.533941869011158,0.478382411963527,5601,4846,1,1,1,16,FALSE,FALSE,"","",-0.0167477247161024,0.0323188528716952,-0.0345369657179643,0.0736763062498501,2009,0.938496583143508
0.00258005218955458,-0.0000230331275470076,0.0124622028901677,0.0276587464074461,0.8359862836953,0.99933555286773,5601,4846,1,1,1,16,FALSE,TRUE,"","",-0.0218458654751741,0.0270059698542832,-0.0542341760861413,0.0541881098310473,2009,0.938496583143508
-0.00139005548772286,-0.0237209882129058,0.01654800676898,0.0519107948701117,0.933055330584905,0.647702131178075,5015,3420,1,1,1,16,TRUE,FALSE,"","",-0.0338241487549236,0.0310440377794779,-0.125466146158325,0.0780241697325131,2009,0.938496583143508
0.000501162563500587,-0.0359257432180207,0.0162095311290421,0.0507129474813225,0.975335117881171,0.478688430589409,5015,3420,1,1,1,16,TRUE,TRUE,"","",-0.0312695184494219,0.032271843576423,-0.135323120281413,0.0634716338453714,2009,0.938496583143508
0.0192548388759389,0.0424228599698814,0.0127534132111591,0.0278447910497936,0.131099756574468,0.127621802762446,5175,4575,1,1,1,16,FALSE,FALSE,"","",-0.00574185101793288,0.0442515287698107,-0.0121529304877142,0.0969986504274769,2010,0.944954128440367
0.0127571073745643,0.0225007066543194,0.0122483375779206,0.0265370336409705,0.297625988990937,0.396494591596425,5175,4575,1,1,1,16,FALSE,TRUE,"","",-0.01124963427816,0.0367638490272886,-0.0295118792819828,0.0745132925906216,2010,0.944954128440367
0.00179609852380513,0.0115708365921671,0.0171507561108652,0.0556641131906733,0.916594690616228,0.835331352394233,4646,3206,1,1,1,16,TRUE,FALSE,"","",-0.0318193834534907,0.035411580501101,-0.0975308252615526,0.120672498445887,2010,0.944954128440367
0.00209375144749766,0.00245887263285452,0.0167090714113862,0.0538236156341849,0.900281086967893,0.963562196963056,4646,3206,1,1,1,16,TRUE,TRUE,"","",-0.0306560285188193,0.0348435314138146,-0.103035414010148,0.107953159275857,2010,0.944954128440367
0.0119069896900607,0.0203878764097399,0.0127270979294939,0.0266378100963267,0.349498727221631,0.444049113198342,5587,4986,1,1,1,16,FALSE,FALSE,"","",-0.0130381222517473,0.0368521016318686,-0.0318222313790603,0.0725979841985402,2011,0.940033783783784
0.000684200857914817,-0.0148014880363707,0.0124770860995855,0.0265103000153023,0.956268649444205,0.576619263041866,5587,4986,1,1,1,16,FALSE,TRUE,"","",-0.0237708878972728,0.0251392896131025,-0.0667616760663633,0.0371586999936218,2011,0.940033783783784
0.00181827563405768,-0.043598160065054,0.0161101086646899,0.0483251960983219,0.910137180426231,0.366959777385509,5069,3432,1,1,1,16,TRUE,FALSE,"","",-0.0297575373487346,0.03339408861685,-0.138315544417765,0.0511192242876568,2011,0.940033783783784
0.00637896534677405,-0.0508977229559693,0.0159187702036068,0.0478533953213221,0.688626480729162,0.287501876400113,5069,3432,1,1,1,16,TRUE,TRUE,"","",-0.0248218242522953,0.0375797549458434,-0.144690377785761,0.042894931873822,2011,0.940033783783784
0.00884993965089786,0.0482439478237309,0.0122476873344239,0.0289459070194376,0.469937671454102,0.095575415937138,6616,6103,1,1,1,16,FALSE,FALSE,"",*,-0.0151555275245729,0.0328554068263686,-0.00849002993436679,0.104977925581829,2012,0.939015939015939
0.00420786338922988,0.0313839823579279,0.0116788842146383,0.0271057763330824,0.718625270255725,0.246931892037611,6616,6103,1,1,1,16,FALSE,TRUE,"","",-0.0186827496714612,0.0270984764499209,-0.0217433392549136,0.0845113039707694,2012,0.939015939015939
-0.0111908540472749,0.00184219827074184,0.0149751545810874,0.0456544142656403,0.454885675006395,0.96781334711485,5994,4274,1,1,1,16,TRUE,FALSE,"","",-0.0405421570262062,0.0181604489316563,-0.0876404536899131,0.0913248502313968,2012,0.939015939015939
-0.0141301329047542,-0.0048542532026057,0.014770583037286,0.0450927917523881,0.338748911714541,0.914273083858998,5994,4274,1,1,1,16,TRUE,TRUE,"","",-0.0430804756578348,0.0148202098483263,-0.0932361250372864,0.083527618632075,2012,0.939015939015939
0.00160236821561366,0.0144678704373366,0.00897115991103703,0.0176778980540274,0.858241373381289,0.41311982352854,7955,7538,1,1,1,16,FALSE,FALSE,"","",-0.0159811052100189,0.0191858416412462,-0.0201808097485571,0.0491165506232302,2013,0.947280799112098
-0.00262477646696185,0.0017585329514913,0.00888058326463748,0.0175511707129903,0.76756343480886,0.920189813913584,7955,7538,1,1,1,16,FALSE,TRUE,"","",-0.0200307196656513,0.0147811667317276,-0.0326417616459697,0.0361588275489524,2013,0.947280799112098
0.00198388734965105,0.0629441574877988,0.0131162116752321,0.0398065949899855,0.879774881162216,0.113821006704782,7037,5434,1,1,1,16,TRUE,FALSE,"","",-0.0237238875338039,0.027691662233106,-0.0150767686925727,0.14096508366817,2013,0.947280799112098
0.00310890789866734,0.0665661462462562,0.0128831022293936,0.0388192762452749,0.809309657567683,0.086387328613944,7037,5434,1,1,1,16,TRUE,TRUE,"",*,-0.022141972470944,0.0283597882682787,-0.00951963519448251,0.142651927686995,2013,0.947280799112098
0.000149931112552681,0.0212356549596299,0.00942876769663422,0.0194704668993797,0.987313010300592,0.275422618654896,8340,7831,1,1,1,16,FALSE,FALSE,"","",-0.0183304535728504,0.0186303157979558,-0.0169264601631544,0.0593977700824141,2014,0.950516585100598
-0.00482261416563544,0.00906325690644043,0.0093500753837806,0.0193185127938356,0.60600566085654,0.638963286525775,8340,7831,1,1,1,16,FALSE,TRUE,"","",-0.0231487619178454,0.0135035335865745,-0.0288010281694773,0.0469275419823581,2014,0.950516585100598
-0.0180120452671013,-0.000631598664038946,0.012797132619033,0.0407722593498701,0.159277299246437,0.987640550795607,7473,5591,1,1,1,16,TRUE,FALSE,"","",-0.0430944252004059,0.00707033466620331,-0.0805452269897844,0.0792820296617065,2014,0.950516585100598
-0.0190680943517561,0.000679982798046438,0.0126859040082838,0.0403755282054163,0.13281504663038,0.98656309517642,7473,5591,1,1,1,16,TRUE,TRUE,"","",-0.0439324662079924,0.00579627750448022,-0.0784560524845696,0.0798160180806625,2014,0.950516585100598
