coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,n_eligible_aidemerite_group_lab,mean_y
-0.0101467045104615,-0.0139622733562951,0.00766951607724558,0.0160073931141387,0.185838207533476,0.383077980578038,9640,9505,1,1,1,16,FALSE,FALSE,"","",-0.0251789560218629,0.00488554700093983,-0.0453367638600069,0.0174122171474168,3-5 (27.1%),0.955985915492958
-0.00958003798033153,-0.0147095435029815,0.00756918011146853,0.0157837637745576,0.205633439888268,0.351366791178261,9640,9505,1,1,1,16,FALSE,TRUE,"","",-0.0244156309988098,0.00525555503814678,-0.0456457205011143,0.0162266334951513,3-5 (27.1%),0.955985915492958
-0.00063780544824954,0.014693455763195,0.0110027646081837,0.0347174812064815,0.953774321418995,0.672127961003757,8659,6722,1,1,1,16,TRUE,FALSE,"","",-0.0222032240802897,0.0209276131837906,-0.0533528074015087,0.0827397189278987,3-5 (27.1%),0.955985915492958
-0.00267495476708781,0.00149647981026764,0.0109194605831291,0.0343527984658487,0.806478631493588,0.965253468198559,8659,6722,1,1,1,16,TRUE,TRUE,"","",-0.0240770975100208,0.0187271879758452,-0.0658350051827959,0.0688279648033311,3-5 (27.1%),0.955985915492958
-0.0166263832432514,0.00500209718514943,0.00935366924755543,0.0200322301527542,0.0754818606381976,0.802817454234167,10615,8670,1,1,1,16,FALSE,FALSE,*,"",-0.03495957496846,0.00170680848195725,-0.0342610739142488,0.0442652682845477,0-2 (27.3%),0.945899527694289
-0.00722263688382126,0.000129856652418237,0.00925292436816432,0.0197913350016579,0.435050246520617,0.994764887024381,10615,8670,1,1,1,16,FALSE,TRUE,"","",-0.0253583686454233,0.0109130948777808,-0.0386611599508312,0.0389208732556676,0-2 (27.3%),0.945899527694289
-0.0366203124477589,-0.060344027714483,0.0120929264812774,0.0354628436038778,0.00245980709565767,0.0888279811291305,9596,5877,1,1,1,16,TRUE,FALSE,***,*,-0.0603224483510625,-0.0129181765444552,-0.129851201178083,0.00916314574911747,0-2 (27.3%),0.945899527694289
-0.0180532977210655,-0.0446219020673413,0.0119221467538508,0.0350241866668027,0.12995846806499,0.202652404655046,9596,5877,1,1,1,16,TRUE,TRUE,"","",-0.0414207053586131,0.00531410991648209,-0.113269307934275,0.0240255037995919,0-2 (27.3%),0.945899527694289
-0.007053114892282,-0.0098295475951623,0.00785789937443766,0.0156808948528401,0.369408041422232,0.53075845718157,7836,8926,1,1,1,16,FALSE,FALSE,"","",-0.0224545976661798,0.00834836788161582,-0.0405641015067289,0.0209050063164043,6-9 (23.7%),0.949971247843588
-0.00777916446216593,-0.0122304684348434,0.00780332755557386,0.0157470676234034,0.318811358222968,0.437346242069266,7836,8926,1,1,1,16,FALSE,TRUE,"","",-0.0230736864710907,0.00751535754675883,-0.0430947209767141,0.0186337841070272,6-9 (23.7%),0.949971247843588
-0.00524164770828361,0.00502460470831478,0.0120932606980353,0.0358969347456054,0.66469846233263,0.888681255844924,6963,6311,1,1,1,16,TRUE,FALSE,"","",-0.0289444386764328,0.0184611432598656,-0.0653333873930718,0.0753825968097014,6-9 (23.7%),0.949971247843588
-0.00522303066978804,0.0102168641107881,0.011999741821178,0.0355821172849559,0.663372321794517,0.774009107425993,6963,6311,1,1,1,16,TRUE,TRUE,"","",-0.028742524639297,0.0182964632997209,-0.0595240857677254,0.0799578139893016,6-9 (23.7%),0.949971247843588
0.0112999080848113,0.0269120777209833,0.00919860139981269,0.0183344109833264,0.219282729872933,0.142146268112703,6633,8777,1,1,1,16,FALSE,FALSE,"","",-0.00672935065882159,0.0293291668284442,-0.00902336780633652,0.062847523248303,10+ (21.8%),0.954575818303273
0.0118275159094438,0.0266796716099464,0.00921934398170162,0.0185275206793365,0.199526371163078,0.149866760289018,6633,8777,1,1,1,16,FALSE,TRUE,"","",-0.00624239829469133,0.029897430113579,-0.00963426892155326,0.062993612141446,10+ (21.8%),0.954575818303273
0.00243279900417526,0.0656729905824471,0.0128658428136869,0.0412842503667609,0.850022474703725,0.111665471521427,5901,6446,1,1,1,16,TRUE,FALSE,"","",-0.022784252910651,0.0276498509190015,-0.0152441401364042,0.146590121301299,10+ (21.8%),0.954575818303273
0.00328184604426062,0.0698793648843,0.0128307149391382,0.0411157863904021,0.798120370309281,0.0892108859078513,5901,6446,1,1,1,16,TRUE,TRUE,"",*,-0.0218663552364502,0.0284300473249714,-0.0107075764408881,0.150466306209488,10+ (21.8%),0.954575818303273
