coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,n_aidemerite_prev_year_group_lab,mean_y
0.0366927223844368,0.0405882259999117,0.0118068329024066,0.0135507308164289,0.00188515442655428,0.00274193480576773,9567,8903,1,0.852930836465554,1.73374007608509,16,FALSE,FALSE,***,***,0.0135513298957199,0.0598341148731537,0.0140287935997112,0.0671476584001123,0-2 (33.7%),0.91897233201581
0.015298170324145,0.0169681915214109,0.00927519928819125,0.0113328980044904,0.0990732944668351,0.13432799050062,13452,9827,1,1.05096370154856,1.84305597681844,16,FALSE,TRUE,*,"",-0.00288122028070982,0.0334775609289999,-0.00524428856739025,0.039180671610212,0-2 (33.7%),0.91897233201581
0.0097041942835302,0.00931590992117315,0.00917439082849935,0.0113262995934103,0.290170309030469,0.410790954882258,20051,7900,1,1.37157228044331,2.54944458049345,16,TRUE,FALSE,"","",-0.00827761174032854,0.0276860003073889,-0.012883637281911,0.0315154571242573,0-2 (33.7%),0.91897233201581
0.00861910515757947,0.00999470543978851,0.00935427145391248,0.0114685260319564,0.356837196626776,0.383486678482914,18727,7739,1,1.3211609504581,2.50779595774101,16,TRUE,TRUE,"","",-0.00971526689208899,0.0269534772072479,-0.0124836055828459,0.0324730164624229,0-2 (33.7%),0.91897233201581
-0.000479782181602273,-0.002018157832964,0.00877140935691641,0.0106674918903186,0.956378732805457,0.849945738606878,7468,8565,1,0.866428499217297,1.58929718067501,16,FALSE,FALSE,"","",-0.0176717445211584,0.0167121801579539,-0.0229264419379884,0.0188901262720604,3-5 (28.7%),0.955404750363548
-0.00291676042050429,-0.00525357902040803,0.00886122392860124,0.0106105800665008,0.742034759238837,0.620510852275357,7191,8423,1,0.848224352122899,1.60615426683072,16,FALSE,TRUE,"","",-0.0202847593205627,0.0144512384795541,-0.0260503159507496,0.0155431579099335,3-5 (28.7%),0.955404750363548
-0.00888216282039789,-0.0113691258874051,0.0112459060096861,0.0136530611386805,0.429636982838031,0.405004776999181,8415,6549,1,0.992690510003698,1.98367196213564,16,TRUE,FALSE,"","",-0.0309241385993826,0.0131598129585868,-0.0381291257192189,0.0153908739444086,3-5 (28.7%),0.955404750363548
-0.00548824627814012,-0.00627570050968714,0.00973974976279076,0.0120753347362734,0.573101639166558,0.603264082628212,10372,7130,1,1.11164631797142,2.07995358265988,16,TRUE,TRUE,"","",-0.02457815581321,0.0136016632569298,-0.0299433565927831,0.0173919555734088,3-5 (28.7%),0.955404750363548
0.00108291561103513,0.00337685759598338,0.0134028548743166,0.0161839468293915,0.935603088590914,0.834717756376712,3768,5648,1,0.654713529832336,1.23286600866401,16,FALSE,FALSE,"","",-0.0251866799426254,0.0273525111646957,-0.028343678189624,0.0350973933815907,6-9 (22.3%),0.958257713248639
0.00209344864616198,0.00370875718457338,0.0126579337142091,0.0153780879611817,0.868639947176005,0.809422166295657,4027,5796,1,0.68568549589102,1.27481016527751,16,FALSE,TRUE,"","",-0.0227161014336879,0.0269029987260118,-0.0264322952193427,0.0338498095884895,6-9 (22.3%),0.958257713248639
0.0196163800286997,0.0155578872561895,0.0215288980715932,0.0251987806293303,0.362208402768118,0.536966732479895,3465,3862,1,0.701312515700892,1.54100270222619,16,TRUE,FALSE,"","",-0.0225802601916229,0.0618130202490223,-0.0338317227772979,0.0649474972896768,6-9 (22.3%),0.958257713248639
0.0193120693770337,0.0154670129479976,0.0215853200406346,0.0253389599198508,0.37095531812184,0.541593945776173,3402,3832,1,0.698092698861374,1.52631742363566,16,TRUE,TRUE,"","",-0.0229951579026102,0.0616192966566776,-0.0341973484949101,0.0651313743909052,6-9 (22.3%),0.958257713248639
-0.0131629585859236,-0.0141342533692657,0.0100688500834121,0.0124256496034849,0.191112500683283,0.255326737372547,4283,4976,1,0.939408124932481,1.64353275754561,16,FALSE,FALSE,"","",-0.0328979047494113,0.00657198757756398,-0.0384885265920961,0.0102200198535648,10+ (15.2%),0.964684014869889
-0.0144134736418398,-0.0158836769751295,0.0101827235595857,0.0125601515196951,0.156926884736686,0.206011630233788,4283,4976,1,0.933449733080191,1.64182453583818,16,FALSE,TRUE,"","",-0.0343716118186277,0.00554466453494812,-0.040501573953732,0.00873422000347291,10+ (15.2%),0.964684014869889
-0.0299651165066597,-0.0346714700444051,0.016659854386813,0.0199627663549544,0.0720753034949957,0.0824212634206429,3407,3357,1,0.876258131092026,1.82343427477606,16,TRUE,FALSE,*,*,-0.0626184311048132,0.00268819809149383,-0.0737984921001158,0.00445555201130563,10+ (15.2%),0.964684014869889
-0.0279333514609086,-0.0325089964606528,0.0167679202885538,0.0201398343252946,0.0957372179499228,0.10649184836594,3261,3348,1,0.86309636698126,1.79179732324875,16,TRUE,TRUE,*,"",-0.060798475226474,0.0049317723046568,-0.0719830717382301,0.0069650788169245,10+ (15.2%),0.964684014869889
