value,n_obs,pct,variable
Female,5006,0.577060518731989,Gender
Male,3669,0.422939481268012,Gender
High SES,1439,0.165878962536023,Parent SES
Low SES,2249,0.259250720461095,Parent SES
Middle SES,2569,0.296138328530259,Parent SES
Missing,303,0.0349279538904899,Parent SES
Very High SES,2115,0.243804034582133,Parent SES
Générale,6857,0.790432276657061,High-School Track
Professionnelle,750,0.0864553314121038,High-School Track
Technologique,1068,0.123112391930836,High-School Track
0_0bis,2970,0.342363112391931,Echelon
1,1652,0.190432276657061,Echelon
2_3,1477,0.170259365994236,Echelon
4_5,1585,0.182708933717579,Echelon
6_7,991,0.114236311239193,Echelon
1,1046,0.120576368876081,Parent income
2,1269,0.14628242074928,Parent income
3,1562,0.180057636887608,Parent income
4,1988,0.229164265129683,Parent income
5,2809,0.323804034582133,Parent income
,1,0.000115273775216138,Parent income
