pcs_depp,echelon,n,n_obs,pct,order,pct_echelon,pcs_depp_pct
High SES,0,40110,150336,0.136463403342961,4,0.266802362707535,High SES (14%)
High SES,0bis,11158,150336,0.136463403342961,4,0.0742204129416773,High SES (14%)
High SES,1,31913,150336,0.136463403342961,4,0.212277830991911,High SES (14%)
High SES,2,15599,150336,0.136463403342961,4,0.103760908897403,High SES (14%)
High SES,3,14010,150336,0.136463403342961,4,0.093191251596424,High SES (14%)
High SES,4,11697,150336,0.136463403342961,4,0.0778057151979566,High SES (14%)
High SES,5,15855,150336,0.136463403342961,4,0.105463761174968,High SES (14%)
High SES,6,9217,150336,0.136463403342961,4,0.0613093337590464,High SES (14%)
High SES,7,777,150336,0.136463403342961,4,0.00516842273307791,High SES (14%)
Low SES,0,47724,410380,0.372511251223156,2,0.116292216969638,Low SES (37%)
Low SES,0bis,17008,410380,0.372511251223156,2,0.0414445148399045,Low SES (37%)
Low SES,1,57296,410380,0.372511251223156,2,0.139616940396706,Low SES (37%)
Low SES,2,32079,410380,0.372511251223156,2,0.0781690140845071,Low SES (37%)
Low SES,3,34255,410380,0.372511251223156,2,0.0834714167357084,Low SES (37%)
Low SES,4,36421,410380,0.372511251223156,2,0.088749451727667,Low SES (37%)
Low SES,5,77616,410380,0.372511251223156,2,0.189132023977777,Low SES (37%)
Low SES,6,94437,410380,0.372511251223156,2,0.230120863589844,Low SES (37%)
Low SES,7,13544,410380,0.372511251223156,2,0.0330035576782494,Low SES (37%)
Middle SES,0,52079,325675,0.295622597938743,3,0.159910954172104,Middle SES (30%)
Middle SES,0bis,17407,325675,0.295622597938743,3,0.0534489905580717,Middle SES (30%)
Middle SES,1,54648,325675,0.295622597938743,3,0.167799186305366,Middle SES (30%)
Middle SES,2,30645,325675,0.295622597938743,3,0.0940968757196592,Middle SES (30%)
Middle SES,3,32238,325675,0.295622597938743,3,0.0989882551623551,Middle SES (30%)
Middle SES,4,31559,325675,0.295622597938743,3,0.096903354571275,Middle SES (30%)
Middle SES,5,55920,325675,0.295622597938743,3,0.171704920549628,Middle SES (30%)
Middle SES,6,47171,325675,0.295622597938743,3,0.144840715437169,Middle SES (30%)
Middle SES,7,4008,325675,0.295622597938743,3,0.0123067475243725,Middle SES (30%)
Missing,0,4317,56416,0.0512100851625459,1,0.076520845150312,Missing (5%)
Missing,0bis,1620,56416,0.0512100851625459,1,0.0287152580828134,Missing (5%)
Missing,1,5408,56416,0.0512100851625459,1,0.0958593306863301,Missing (5%)
Missing,2,3621,56416,0.0512100851625459,1,0.0641839194554736,Missing (5%)
Missing,3,4135,56416,0.0512100851625459,1,0.0732948099829835,Missing (5%)
Missing,4,4646,56416,0.0512100851625459,1,0.0823525241066364,Missing (5%)
Missing,5,10599,56416,0.0512100851625459,1,0.187872234826999,Missing (5%)
Missing,6,18487,56416,0.0512100851625459,1,0.327690726035167,Missing (5%)
Missing,7,3583,56416,0.0512100851625459,1,0.0635103516732842,Missing (5%)
Very High SES,0,49126,158851,0.144192662332593,5,0.309258361609307,Very High SES (14%)
Very High SES,0bis,13460,158851,0.144192662332593,5,0.0847334923922418,Very High SES (14%)
Very High SES,1,32969,158851,0.144192662332593,5,0.207546694701324,Very High SES (14%)
Very High SES,2,13935,158851,0.144192662332593,5,0.0877237159350586,Very High SES (14%)
Very High SES,3,11625,158851,0.144192662332593,5,0.0731817867057809,Very High SES (14%)
Very High SES,4,9150,158851,0.144192662332593,5,0.0576011482458404,Very High SES (14%)
Very High SES,5,14047,158851,0.144192662332593,5,0.0884287791704176,Very High SES (14%)
Very High SES,6,13180,158851,0.144192662332593,5,0.0829708343038445,Very High SES (14%)
Very High SES,7,1359,158851,0.144192662332593,5,0.00855518693618548,Very High SES (14%)
