pcs_depp_pct,pcs,n
Missing (5%),99,56416
Low SES (37%),61,203263
Low SES (37%),66,38680
Low SES (37%),69,7408
Low SES (37%),76,26565
Low SES (37%),81,3986
Low SES (37%),82,130478
Middle SES (30%),10,26764
Middle SES (30%),21,39760
Middle SES (30%),22,37234
Middle SES (30%),52,72764
Middle SES (30%),53,17629
Middle SES (30%),54,51688
Middle SES (30%),55,45613
Middle SES (30%),56,31227
Middle SES (30%),71,697
Middle SES (30%),72,2299
High SES (14%),43,43246
High SES (14%),44,895
High SES (14%),45,20804
High SES (14%),46,14328
High SES (14%),47,46924
High SES (14%),48,24139
Very High SES (14%),23,8570
Very High SES (14%),31,17320
Very High SES (14%),33,17805
Very High SES (14%),34,29519
Very High SES (14%),35,7049
Very High SES (14%),37,37830
Very High SES (14%),38,20932
Very High SES (14%),42,14101
Very High SES (14%),73,5725
